"GEO.id2","GEO.display-label","PopEstimate","Year","Median household income (dollars)","Percent workers commuting by public transportation","Percent population unemployed","Percent no health insurance coverage","Percent income below poverty level","gdp","CENTLAT","CENTLON","INTPTLAT","INTPTLON","UA","UANAME","UAPOP","UZA","UZA Area SQ Miles","UZA Name","UPTs","VRMs","VRHs","Total_Stations_2017","Total_Funding","Federal_Funding","State_Funding","Local_Funding","Other_Funding"
13180,"Beaver Dam, WI Micro Area",87786,2007,51269,0.1,4,NA,NA,NA,43.4161708,-88.7075191,43.4226586,-88.7043963,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
13220,"Beckley, WV Micro Area",79170,2007,39498,0.9,3.9,NA,NA,3397,37.7713278,-81.2484458,37.7624694,-81.2646719,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
13380,"Bellingham, WA Metro Area",192999,2007,46506,3.1,4.7,NA,NA,8213.8,48.8312925,-121.8723276,48.8426531,-121.8364325,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
13460,"Bend, OR Metro Area",154028,2007,55957,0.7,3.1,NA,NA,6381,43.915132,-121.226815,43.9151181,-121.2255751,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
13740,"Billings, MT Metro Area",150205,2007,48312,1.7,2.1,NA,NA,7539.1,45.6271313,-108.6074449,45.6423886,-108.5995606,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
13780,"Binghamton, NY Metro Area",246426,2007,45243,2,3.6,NA,NA,8414.9,42.1646724,-76.0249831,42.1639276,-76.0229431,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
13820,"Birmingham-Hoover, AL Metro Area",1106765,2007,47196,0.6,4.2,NA,NA,52588.7,33.4625697,-86.8141928,33.4623718,-86.8143378,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
13900,"Bismarck, ND Metro Area",103242,2007,50588,0.8,1.9,NA,NA,4471.9,46.8372721,-100.906333,46.8373553,-100.9054499,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",159022,2007,39462,1.4,3.8,NA,NA,5690.5,37.1866447,-80.5924056,37.1201194,-80.5591473,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
14020,"Bloomington, IN Metro Area",180766,2007,39590,2.6,4,NA,NA,5578.2,39.154261,-86.7920665,39.1479121,-86.7931726,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
14060,"Bloomington-Normal, IL Metro Area",164209,2007,54071,1.7,3.9,NA,NA,NA,40.4908624,-88.8474047,40.4945594,-88.8445391,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
