"msa_id","msa_name","pop_estimate_msa","year","median_household_income_msa","percent_commuting_msa","percent_unemployed_msa","percent_no_insurance_msa","percent_below_poverty_level","gdp_msa","intptlat","intptlon","ua_census_id","ua_sq_miles_2010","ua_fta_name","transit_modes","total_transit_expenses","total_fares","directional_route_miles","vehicle_hours","vehicle_miles","passenger_miles","passenger_trips","total_stations_2017","total_funding","federal_funding","state_funding","local_funding","other_funding","per_capita_gdp","pmt_per_vrm","pmt_per_vrh","upt_per_vrh","per_capita_vrm","per_capita_vrh","per_capita_pmt","per_capita_upt","recovery_ratio","fares_per_upt","cost_per_hour","cost_per_trip","cost_per_pmt"
16980,"Chicago-Naperville-Joliet, IL-IN-WI Metro Area",9522879,2007,59255,11.5,4.8,NA,NA,534764500000,NA,NA,"16264",2443,"Chicago, IL-IN","Bus",1021314344,293989528,6001.9,8474445,90370069,993084264,344470090,1118,2852863377,545613523,374333039,1096624234,836292581,56155.7591984525,10.9890838303996,117.185758359397,40.648100259073,9.48978444438914,0.889903673038374,104.284036791815,36.1728937225812,0.287854106551156,0.8534544407034,120.516959399701,2.96488540993501,1.02842667135445
16980,"Chicago-Naperville-Joliet, IL-IN-WI Metro Area",9522879,2007,59255,11.5,4.8,NA,NA,534764500000,NA,NA,"16264",2443,"Chicago, IL--Northwestern IN","Other",110988032,12334177,0,2343750,36566646,77454429,5871915,7,2852863377,545613523,374333039,1096624234,836292581,56155.7591984525,2.11817154354271,33.04722304,2.5053504,3.83987300479193,0.24611779693935,8.13350972956813,0.616611321009119,0.111130693803094,2.10053738856915,47.3548936533333,18.9015052159304,1.4329462295823
16980,"Chicago-Naperville-Joliet, IL-IN-WI Metro Area",9522879,2007,59255,11.5,4.8,NA,NA,534764500000,NA,NA,"16264",2443,"Chicago, IL-IN","Rail",1063087844,439902573,1368,5163357,112336149,2954541382,269069502,695,2852863377,545613523,374333039,1096624234,836292581,56155.7591984525,26.3008960900022,572.213267841058,52.1113496510119,11.796448216973,0.542205461184585,310.257158785699,28.2550583704781,0.413797011679498,1.63490313740574,205.890827227325,3.95097859883057,0.35981484316878
16980,"Chicago-Naperville-Joliet, IL-IN-WI Metro Area",9522879,2007,59255,11.5,4.8,NA,NA,534764500000,NA,NA,"16264",2443,"Chicago, IL--Northwestern IN","Rail",1063087844,439902573,1368,5163357,112336149,2954541382,269069502,695,2852863377,545613523,374333039,1096624234,836292581,56155.7591984525,26.3008960900022,572.213267841058,52.1113496510119,11.796448216973,0.542205461184585,310.257158785699,28.2550583704781,0.413797011679498,1.63490313740574,205.890827227325,3.95097859883057,0.35981484316878
16980,"Chicago-Naperville-Joliet, IL-IN-WI Metro Area",9522879,2007,59255,11.5,4.8,NA,NA,534764500000,NA,NA,"16264",2443,"Chicago, IL--Northwestern IN","Bus",1021314344,293989528,6001.9,8474445,90370069,993084264,344470090,1118,2852863377,545613523,374333039,1096624234,836292581,56155.7591984525,10.9890838303996,117.185758359397,40.648100259073,9.48978444438914,0.889903673038374,104.284036791815,36.1728937225812,0.287854106551156,0.8534544407034,120.516959399701,2.96488540993501,1.02842667135445
16980,"Chicago-Naperville-Joliet, IL-IN-WI Metro Area",9522879,2007,59255,11.5,4.8,NA,NA,534764500000,NA,NA,"73153",49,"Racine, WI","Bus",6510559,1073195,139,85292,1085680,5159096,1458662,10,7341511,2535683,1753242,1662179,1390407,56155.7591984525,4.75194900891607,60.4874548609483,17.1019790836186,0.114007539106608,0.00895653509826178,0.541758012466608,0.153174475912169,0.164839148220606,0.735739328233683,76.332586878019,4.4633773965456,1.26195732740775
16980,"Chicago-Naperville-Joliet, IL-IN-WI Metro Area",9522879,2007,59255,11.5,4.8,NA,NA,534764500000,NA,NA,"73153",49,"Racine, WI","Other",466349,44121,0,8417,96260,96260,17827,NA,7341511,2535683,1753242,1662179,1390407,56155.7591984525,1,11.4363787572769,2.11797552572175,0.0101082876302429,0.000883871358651097,0.0101082876302429,0.00187201790550946,0.0946094019714849,2.47495372188254,55.405607698705,26.1597015762607,4.84468107209641
16980,"Chicago-Naperville-Joliet, IL-IN-WI Metro Area",9522879,2007,59255,11.5,4.8,NA,NA,534764500000,NA,NA,"44506",51,"Kenosha, WI-IL","Other",185652,28023,0,8232,128395,95964,16992,NA,7281057,2411653,1690109,2482995,696300,56155.7591984525,0.747412282409751,11.6574344023324,2.06413994169096,0.0134827923362252,0.000864444460546018,0.0100772045932748,0.00178433433838653,0.150943701118221,1.64918785310734,22.5524781341108,10.9258474576271,1.93460047517819
16980,"Chicago-Naperville-Joliet, IL-IN-WI Metro Area",9522879,2007,59255,11.5,4.8,NA,NA,534764500000,NA,NA,"44506",51,"Kenosha, WI-IL","Rail",319401,15661,1.9,2808,19837,70309,62643,0,7281057,2411653,1690109,2482995,696300,56155.7591984525,3.54433634118062,25.0388176638177,22.3087606837607,0.00208308852816464,0.000294868810157096,0.0073831663722704,0.00657815771889993,0.0490324075378599,0.250003990868892,113.746794871795,5.09875005986303,4.54281813139143
16980,"Chicago-Naperville-Joliet, IL-IN-WI Metro Area",9522879,2007,59255,11.5,4.8,NA,NA,534764500000,NA,NA,"44506",51,"Kenosha, WI-IL","Bus",6034375,542162,152.9,71092,1053502,6143491,1660403,4,7281057,2411653,1690109,2482995,696300,56155.7591984525,5.83149438729115,86.4160665053733,23.3556940302706,0.110628518959445,0.0074653894058719,0.645129587386336,0.174359350780368,0.0898455929570171,0.326524343788827,84.8812102627581,3.6342833637376,0.982238762944391
17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",2134864,2007,52023,2.7,3.9,NA,NA,101308300000,39.0785901,-84.463527,"16885",788,"Cincinnati, OH-KY-IN","Other",13013242,741602,0,219898,3815101,4606215,455876,NA,116284149,18051124,2718897,60292869,35221259,47454.2172241417,1.20736384174364,20.947052724445,2.07312481241303,1.78704638796663,0.103003282644702,2.15761519234949,0.213538661010725,0.0569882585753804,1.62676254069089,59.1785373218492,28.5455737963832,2.82514863070873
