UA,NAME,UA00,UA00NAME,POPPT,HUPT,AREAPT,AREALANDPT,UAPOP,UAHU,UAAREA,UAAREALAND,UA00POP,UA00HU,UA00AREA,UA00AREALAND,UAPOPPCT,UAHUPCT,UAAREAPCT,UAAREALANDPCT,UA00POPPCT,UA00HUPCT,UA00AREAPCT,UA00AREALANDPCT
03142,"Arkansas City, KS",99999,"Not in a 2000 urban area",954,368,4085364,3947350,13026,5906,25095581,24957567,,,,,7.32,6.23,16.28,15.82,,,,
03158,"Arlington, TN",99999,"Not in a 2000 urban area",11502,3760,20250793,20162652,11502,3760,20250793,20162652,,,,,100.00,100.00,100.00,100.00,,,,
03196,"Arroyo Grande--Grover Beach, CA",03196,"Arroyo Grande--Grover Beach, CA",48112,23635,45478469,45356817,52000,25398,59853338,59618233,48370,23748,47945241,47823589,92.52,93.06,75.98,76.08,99.47,99.52,94.86,94.84
03196,"Arroyo Grande--Grover Beach, CA",99999,"Not in a 2000 urban area",3888,1763,14374869,14261416,52000,25398,59853338,59618233,,,,,7.48,6.94,24.02,23.92,,,,
03223,"Artesia, NM",03223,"Artesia, NM",11776,4887,10108077,10106323,12764,5269,16929644,16912665,11926,4953,14830024,14823814,92.26,92.75,59.71,59.76,98.74,98.67,68.16,68.18
03223,"Artesia, NM",99999,"Not in a 2000 urban area",988,382,6821567,6806342,12764,5269,16929644,16912665,,,,,7.74,7.25,40.29,40.24,,,,
03250,"Arvin, CA",03250,"Arvin, CA",19533,4531,10584936,10584936,19573,4542,11204962,11204962,19533,4531,10630696,10630696,99.80,99.76,94.47,94.47,100.00,100.00,99.57,99.57
03250,"Arvin, CA",99999,"Not in a 2000 urban area",40,11,620026,620026,19573,4542,11204962,11204962,,,,,0.20,0.24,5.53,5.53,,,,
03277,"Ashburn, GA",03277,"Ashburn, GA",4259,1845,6946360,6851466,4489,1940,8290410,8185910,4534,1966,12968953,12685113,94.88,95.10,83.79,83.70,93.93,93.85,53.56,54.01
03277,"Ashburn, GA",99999,"Not in a 2000 urban area",230,95,1344050,1334444,4489,1940,8290410,8185910,,,,,5.12,4.90,16.21,16.30,,,,
03304,"Ashdown, AR",03304,"Ashdown, AR",3418,1503,6837859,6837859,4146,1895,9263737,9263737,3548,1575,7705612,7705612,82.44,79.31,73.81,73.81,96.34,95.43,88.74,88.74
03304,"Ashdown, AR",99999,"Not in a 2000 urban area",728,392,2425878,2425878,4146,1895,9263737,9263737,,,,,17.56,20.69,26.19,26.19,,,,
03331,"Asheboro, NC",03331,"Asheboro, NC",32724,14644,60342915,60275189,37792,16547,85483842,85286266,33340,14958,65620274,65534805,86.59,88.50,70.59,70.67,98.15,97.90,91.96,91.97
03331,"Asheboro, NC",99999,"Not in a 2000 urban area",5068,1903,25140927,25011077,37792,16547,85483842,85286266,,,,,13.41,11.50,29.41,29.33,,,,
03358,"Asheville, NC",03358,"Asheville, NC",237353,116395,487232771,483573777,280648,136493,692324666,686027223,244408,119906,539399144,535695644,84.57,85.28,70.38,70.49,97.11,97.07,90.33,90.27
03358,"Asheville, NC",99999,"Not in a 2000 urban area",43295,20098,205091895,202453446,280648,136493,692324666,686027223,,,,,15.43,14.72,29.62,29.51,,,,
03365,"Ashland, MO",99999,"Not in a 2000 urban area",3527,1466,4712104,4712104,3527,1466,4712104,4712104,,,,,100.00,100.00,100.00,100.00,,,,
03375,"Ashland, NE",99999,"Not in a 2000 urban area",2631,1128,3299138,3232692,2631,1128,3299138,3232692,,,,,100.00,100.00,100.00,100.00,,,,
03385,"Ashland, OH",03385,"Ashland, OH",19148,8276,18956118,18923765,20226,8847,20740277,20691008,19599,8466,26606153,26520486,94.67,93.55,91.40,91.46,97.70,97.76,71.25,71.36
03385,"Ashland, OH",99999,"Not in a 2000 urban area",1078,571,1784159,1767243,20226,8847,20740277,20691008,,,,,5.33,6.45,8.60,8.54,,,,
03395,"Ashland, PA",81469,"Shenandoah--Frackville, PA",4592,2641,5709137,5709137,7820,3446,14644912,14644912,16837,9411,23023301,22639554,58.72,76.64,38.98,38.98,27.27,28.06,24.80,25.22
03395,"Ashland, PA",99999,"Not in a 2000 urban area",3228,805,8935775,8935775,7820,3446,14644912,14644912,,,,,41.28,23.36,61.02,61.02,,,,
03412,"Ashland, WI",03412,"Ashland, WI",7220,3420,8662695,8662695,7293,3452,11230636,11230636,7322,3468,9343016,9343016,99.00,99.07,77.13,77.13,98.61,98.62,92.72,92.72
03412,"Ashland, WI",99999,"Not in a 2000 urban area",73,32,2567941,2567941,7293,3452,11230636,11230636,,,,,1.00,0.93,22.87,22.87,,,,
03439,"Ashland City, TN",03439,"Ashland City, TN",2530,1051,4278190,4278190,3384,1501,8110549,8110549,2563,1065,4486583,4486583,74.76,70.02,52.75,52.75,98.71,98.69,95.36,95.36
03439,"Ashland City, TN",99999,"Not in a 2000 urban area",854,450,3832359,3832359,3384,1501,8110549,8110549,,,,,25.24,29.98,47.25,47.25,,,,
03466,"Ashtabula, OH",03466,"Ashtabula, OH",28281,14275,45260870,45207868,29346,14832,56726954,56322692,37300,18382,71510561,71423069,96.37,96.24,79.79,80.27,75.82,77.66,63.29,63.30
03466,"Ashtabula, OH",99999,"Not in a 2000 urban area",1065,557,11466084,11114824,29346,14832,56726954,56322692,,,,,3.63,3.76,20.21,19.73,,,,
03493,"Ashville, OH",03493,"Ashville, OH",5197,2196,5767553,5767553,6222,2565,14602329,14307973,6072,2623,11238740,11238740,83.53,85.61,39.50,40.31,85.59,83.72,51.32,51.32
03493,"Ashville, OH",99999,"Not in a 2000 urban area",1025,369,8834776,8540420,6222,2565,14602329,14307973,,,,,16.47,14.39,60.50,59.69,,,,
03520,"Aspen, CO",03520,"Aspen, CO",5731,5256,5973103,5973103,7710,6459,11852099,11852099,5799,5354,8095271,8095271,74.33,81.37,50.40,50.40,98.83,98.17,73.79,73.79
