"msa_id","msa_name","pop_estimate_msa","year","median_household_income_msa","percent_commuting_msa","percent_unemployed_msa","percent_no_insurance_msa","percent_below_poverty_level","gdp_msa","intptlat","intptlon","ua_census_id","ua_sq_miles_2010","ua_fta_name","transit_modes","total_transit_expenses","total_fares","directional_route_miles","vehicle_hours","vehicle_miles","passenger_miles","passenger_trips","total_stations_2017","total_funding","federal_funding","state_funding","local_funding","other_funding","per_capita_gdp","pmt_per_vrm","pmt_per_vrh","per_capita_vrm","per_capita_vrh","per_capita_pmt","per_capita_upt"
25540,"Hartford-West Hartford-East Hartford, CT Metro Area",1211324,2015,72275,2.4,0,4,9.9,88387500000,41.7186503,-72.5739191,"37243",516,"Hartford, CT","Other",15775226,882214,0,249779,3925620,7421042,569887,NA,183885178,34811999,121318760,6002879,21751540,72967.6783420456,1.8904127246142,29.7104320219074,3.24076795308274,0.20620329490706,6.12638897602953,0.470466200620148
25540,"Hartford-West Hartford-East Hartford, CT Metro Area",1211324,2015,72275,2.4,0,4,9.9,88387500000,41.7186503,-72.5739191,"37243",516,"Hartford, CT","Bus",84696350,17115690,1869.39,672500,9120379,74382901,16603384,4,183885178,34811999,121318760,6002879,21751540,72967.6783420456,8.15568092071612,110.606544237918,7.52926467237502,0.555177640334048,61.4062802355109,13.7068067668105
25540,"Hartford-West Hartford-East Hartford, CT Metro Area",1211324,2015,72275,2.4,0,4,9.9,88387500000,41.7186503,-72.5739191,"37243",516,"Hartford, CT","Rail",33944106,2574630,101.2,43257,1935882,21950879,889598,27,183885178,34811999,121318760,6002879,21751540,72967.6783420456,11.3389550602774,507.452643502786,1.59815375572514,0.0357105118036132,18.121393615581,0.734401365778272
25540,"Hartford-West Hartford-East Hartford, CT Metro Area",1211324,2015,72275,2.4,0,4,9.9,88387500000,41.7186503,-72.5739191,"83926",349,"Springfield, MA-CT","Other",9273317,722680,0,186026,3008563,2630545,310133,NA,60053846,14258474,29670216,7946545,8178611,72967.6783420456,0.874352639449465,14.1407383914077,2.48369800317669,0.153572454603393,2.1716279046729,0.256028114691032
25540,"Hartford-West Hartford-East Hartford, CT Metro Area",1211324,2015,72275,2.4,0,4,9.9,88387500000,41.7186503,-72.5739191,"83926",349,"Springfield, MA-CT","Bus",33274374,7057617,872,368159,4932766,42738690,12242638,4,60053846,14258474,29670216,7946545,8178611,72967.6783420456,8.6642443610745,116.087587156636,4.07221024267661,0.303931070465045,35.2826246322206,10.1068236078869
25540,"Hartford-West Hartford-East Hartford, CT Metro Area",1211324,2015,72275,2.4,0,4,9.9,88387500000,41.7186503,-72.5739191,"62407",306,"New Haven, CT","Other",10463084,217127,0,129930,2002100,1607124,254749,NA,57801747,4787087,42649323,1488008,8877329,72967.6783420456,0.802719144897857,12.3691526206419,1.65281955942423,0.107262796741417,1.32674990341147,0.210306243416295
25540,"Hartford-West Hartford-East Hartford, CT Metro Area",1211324,2015,72275,2.4,0,4,9.9,88387500000,41.7186503,-72.5739191,"62407",306,"New Haven, CT","Bus",41353030,8176344,542.2,338042,3728915,29474170,9384537,0,57801747,4787087,42649323,1488008,8877329,72967.6783420456,7.90422146924776,87.1908520243047,3.07837952521373,0.279068193150635,24.3321935336871,7.74733844949824
26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",6656946,2015,61465,1.4,0.1,17.3,14.6,494837400000,NA,NA,"40429",1660,"Houston, TX","Bus",372323288,60910113,4552.02,2943496,42402485,445118102,66753517,848,775401640,103804749,359224,584147250,87090417,74333.9964001511,10.4974532035092,151.22089583271,6.3696603517589,0.442169126803793,66.8652114648369,10.0276488648098
26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",6656946,2015,61465,1.4,0.1,17.3,14.6,494837400000,NA,NA,"40429",1660,"Houston, TX","Other",73034540,10016324,0,1435504,28883744,94214407,4466964,NA,775401640,103804749,359224,584147250,87090417,74333.9964001511,3.2618488448035,65.6315879300928,4.33888813278642,0.215640024720044,14.152797243661,0.671023018663513
26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",6656946,2015,61465,1.4,0.1,17.3,14.6,494837400000,NA,NA,"40429",1660,"Houston, TX","Rail",50817373,4830770,41.79,197970,2350774,40873954,15251432,312,775401640,103804749,359224,584147250,87090417,74333.9964001511,17.3874451563613,206.465393746527,0.353131000311554,0.0297388622350249,6.14004590092814,2.29105538786104
